,count,zip
837,7,94401.0
838,14,94402.0
839,10,94403.0
840,6,94404.0
841,23,94501.0
842,2,94502.0
843,7,94503.0
844,4,94506.0
845,4,94507.0
846,1,94508.0
847,28,94509.0
848,10,94510.0
849,14,94513.0
850,2,94514.0
851,2,94515.0
852,2,94517.0
853,5,94518.0
854,6,94519.0
855,18,94520.0
856,9,94521.0
857,15,94523.0
858,9,94526.0
859,5,94530.0
860,8,94531.0
861,34,94533.0
862,10,94534.0
863,9,94535.0
864,12,94536.0
865,31,94538.0
866,12,94539.0
867,13,94541.0
868,1,94542.0
869,29,94544.0
870,8,94545.0
871,8,94546.0
872,2,94547.0
873,8,94549.0
874,24,94550.0
875,13,94551.0
876,2,94552.0
877,22,94553.0
878,3,94555.0
879,5,94556.0
880,26,94558.0
881,13,94559.0
882,10,94560.0
883,2,94561.0
884,3,94563.0
885,9,94564.0
886,15,94565.0
887,9,94566.0
888,21,94568.0
889,4,94571.0
890,11,94572.0
891,3,94574.0
892,1,94576.0
893,16,94577.0
894,19,94578.0
895,4,94579.0
896,6,94580.0
897,1,94582.0
898,22,94583.0
899,11,94585.0
900,10,94587.0
901,19,94588.0
902,5,94589.0
903,10,94590.0
904,13,94591.0
905,5,94595.0
906,15,94596.0
907,5,94597.0
908,4,94598.0
909,1,94599.0
910,3,94601.0
911,5,94602.0
912,1,94603.0
913,1,94605.0
914,3,94606.0
915,6,94607.0
916,8,94608.0
917,6,94609.0
918,5,94610.0
919,11,94611.0
920,22,94612.0
921,1,94618.0
922,6,94619.0
923,6,94621.0
924,2,94702.0
925,4,94703.0
926,10,94704.0
927,4,94705.0
928,2,94706.0
929,2,94707.0
930,3,94709.0
931,7,94710.0
932,5,94801.0
933,3,94803.0
934,7,94804.0
935,4,94805.0
936,9,94806.0
937,1,94809.0
938,15,94901.0
939,10,94903.0
940,3,94904.0
941,2,94920.0
942,1,94924.0
943,3,94925.0
944,19,94928.0
945,6,94930.0
946,2,94931.0
947,2,94939.0
948,16,94941.0
949,8,94945.0
950,7,94947.0
951,4,94949.0
952,11,94952.0
953,13,94954.0
954,3,94960.0
955,5,94965.0
956,1,94998.0
957,3,95003.0
958,1,95005.0
959,19,95008.0
960,5,95010.0
961,26,95014.0
962,3,95018.0
963,4,95019.0
964,18,95020.0
965,8,95023.0
966,6,95030.0
967,7,95032.0
968,31,95035.0
969,14,95037.0
970,28,95050.0
971,24,95051.0
972,1,95052.0
973,8,95054.0
